"","Year","Population (1000 persons)","Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Major livestock density in agricultural areas (LSU/ha)","Total Emissions of CO2eq (gigagrams)","Emissions of CO2eq from Agriculture (gigagrams)","Emissions of CO2eq from Energy Production (gigagrams)","Emissions of CO2eq from Land Use Sources (gigagrams)","Emissions of CO2eq from Forests (gigagrams)","Emissions of CO2eq from Waste (gigagrams)","Emissions of CO2eq from Other Sources (gigagrams)","Emissions of CO2eq from Transportation (gigagrams)","Use of Nitrogen per area of cropland (kg/ha)","Use of Phosphate per area of cropland (kg/ha)","Use of Potash per area of cropland (kg/ha)","Use of Pesticides per area of cropland (kg/ha)","Food supply (kcal/capita/day)","Industrial Production (% Relative to 2015)","Average Annual Precipitation (mm/year)","Total Renewable Water Resources (10^9 m^3/year)","Total Renewable Water Resources Per Capita (m^3/capita/year)","Built-up Land (Eco. Footprint, gha)","Carbon (Eco. Footprint, gha)","Cropland (Eco. Footprint, gha)","Fishing Grounds (Eco. Footprint, gha)","Forest Products (Eco. Footprint, gha)","Grazing Land (Eco. Footprint, gha)","Total (Eco. Footprint, gha)","Built-up Land (Biocapacity, gha)","Carbon (Biocapacity, gha)","Cropland (Biocapacity, gha)","Fishing Grounds (Biocapacity, gha)","Forest Products (Biocapacity, gha)","Grazing Land (Biocapacity, gha)","Total (Biocapacity, gha)","Birth Rate, Crude (annually per 1000 people)","Death Rate, Crude (annually per 1000 people)"
"1",1961,3090305.279,0,125.44,0,0,0,0,0,0,0,0,0,0,0,0,383986,0,0,0,0,81855773.0064757,3090030852.02502,1444870938.38128,294048499.438903,1324291933.05463,816230208.306687,7051328204.213,81855773.0064757,0,1444870938.38128,1127685380.681,5496959918.9057,1477613812.28305,9628985823.2575,31.0856041537382,15.0235818970432
"2",1962,3149244.245,0,131.79,0,0,0,0,0,0,0,0,0,0,0,0,388427,0,0,0,0,86757590.8782497,3224094550.65732,1507909823.55877,307512387.715342,1335230591.68337,823624324.572201,7285129269.06525,86757590.8782497,0,1507909823.55877,1125044319.31168,5491694299.17015,1477222655.02827,9688628687.9471,34.9378334547271,13.9725810367094
"3",1963,3210271.352,0,135.3,0,0,0,0,0,0,0,0,0,0,0,0,390431,0,0,0,0,88788704.3859907,3451006078.41235,1524017402.95823,317181394.690002,1347907377.65568,839489055.90001,7568390014.00227,88788704.3859907,0,1524017402.95823,1121236948.76419,5478200293.8244,1473313691.03352,9685557040.96633,36.1106270216119,13.7492693235468
"4",1964,3273670.772,0,129.7,0,0,0,0,0,0,0,0,0,0,0,0,394817,0,0,0,0,93267467.2661892,3677870107.41836,1573895185.06925,310903528.395566,1396617041.77028,833492497.586763,7886045827.5064,93267467.2661892,0,1573895185.06925,1118825006.15603,5477080610.49091,1472888835.83178,9735957104.81415,35.0023379469837,13.7970597478953
"5",1965,3339592.688,0,135.18,0,0,0,0,0,0,0,0,0,0,0,0,397956,0,0,0,0,96299643.1235013,3878171047.17882,1599578820.37531,334361134.66245,1413329678.28525,854092992.320093,8175833315.94541,96299643.1235013,0,1599578820.37531,1114829671.24631,5476386530.66103,1472157707.75161,9759252373.15776,34.3869621314925,13.2050355290301
"6",1966,3408121.405,0,139.44,0,0,0,0,0,0,0,0,0,0,0,0,399766,0,0,0,0,103836913.500646,4092613653.04297,1687737878.60176,357637774.374373,1436240895.59168,851184453.549153,8529251568.66058,103836913.500646,0,1687737878.60176,1114451112.22904,5477116550.21444,1475637576.61113,9858780031.15702,33.3562634054079,12.8559619215163
"7",1967,3479053.821,0,142.21,0,0,0,0,0,0,0,0,0,0,0,0,401709,0,0,0,0,108737519.102284,4212271278.36993,1738788531.85201,382089388.687237,1458151923.96178,867436028.580333,8767474670.55356,108737519.102284,0,1738788531.85201,1111203560.122,5475476841.51501,1475234152.05664,9909440604.64793,33.0888713490113,12.5869280825665
"8",1968,3551880.7,0,147.46,0,0,0,0,0,0,0,0,0,0,0,0,404366,0,0,0,0,113612680.700376,4456292949.63705,1794602754.3199,405887052.343601,1472325037.79683,868104725.801274,9110825200.59904,113612680.700376,0,1794602754.3199,1109006531.5919,5455007504.96104,1471339343.54414,9943568815.11736,33.2352388861812,12.4412888803686
"9",1969,3625905.514,0,147.7,0,0,0,0,0,0,0,0,0,0,0,0,407050,0,0,0,0,117034410.523152,4794409043.05251,1834468258.83592,403057111.53419,1489810564.03596,862901930.866642,9501681318.84841,117034410.523152,0,1834468258.83592,1101274274.9862,5438544479.09409,1464312744.99613,9955634168.43549,32.7248622176431,12.245284860241
"10",1970,3700577.65,0,152.11,0,0,0,0,0,0,0,0,0,0,0,0,410487,0,0,0,0,123190064.815721,5265012521.12493,1890813628.76845,409508043.399545,1524115194.67577,861148104.067276,10073787556.8516,123190064.815721,0,1890813628.76845,1103560548.12898,5428737599.32962,1469892090.86773,10016193931.9105,32.4303823987793,11.9690373840694
