,0,1,2
0,Average Annual Precipitation (mm/year),Use of Nitrogen per area of cropland (kg/ha),0.4794650764026132
1,"Cropland (Eco. Footprint, gha)",Food supply (kcal/capita/day),0.6912297507434088
2,"Cropland (Eco. Footprint, gha)","Grazing Land (Eco. Footprint, gha)",0.8788790157211211
3,Emissions of CO2eq from Forests (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),-0.7553984837012856
4,Emissions of CO2eq from Agriculture (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.3325999712469694
5,"Built-up Land (Biocapacity, gha)","Death Rate, Crude (annually per 1000 people)",-0.9993848257006153
6,Emissions of CO2eq from Waste (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.3325999712469694
7,Emissions of CO2eq from Transportation (gigagrams),Industrial Production (% Relative to 2015),0.6239561318243023
8,Industrial Production (% Relative to 2015),"Total (Eco. Footprint, gha)",0.9835142226493659
9,Food supply (kcal/capita/day),"Grazing Land (Biocapacity, gha)",0.755554038268087
10,Major livestock density in agricultural areas (LSU/ha),Year,0.9886534518113466
11,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Death Rate, Crude (annually per 1000 people)",-0.7667654560953903
12,Total Renewable Water Resources (10^9 m^3/year),Total Renewable Water Resources (10^9 m^3/year),1.0
13,Emissions of CO2eq from Waste (gigagrams),Year,0.5921211648010414
14,"Forest Products (Eco. Footprint, gha)",Total Emissions of CO2eq (gigagrams),0.4819042406041401
15,"Cropland (Eco. Footprint, gha)","Forest Products (Biocapacity, gha)",-0.8809979494190021
16,"Carbon (Eco. Footprint, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.8421104925979073
17,Major livestock density in agricultural areas (LSU/ha),Use of Pesticides per area of cropland (kg/ha),0.9132280119533286
18,"Death Rate, Crude (annually per 1000 people)",Use of Phosphate per area of cropland (kg/ha),-0.7712801905367291
19,"Cropland (Biocapacity, gha)","Cropland (Biocapacity, gha)",1.0
20,"Forest Products (Biocapacity, gha)","Total (Biocapacity, gha)",-0.8771018455228982
21,"Grazing Land (Eco. Footprint, gha)","Total (Eco. Footprint, gha)",0.8781954887218046
22,"Cropland (Eco. Footprint, gha)","Total (Eco. Footprint, gha)",0.9954887218045115
23,"Cropland (Biocapacity, gha)",Use of Phosphate per area of cropland (kg/ha),0.7689126865412208
24,"Cropland (Eco. Footprint, gha)","Fishing Grounds (Biocapacity, gha)",-0.7122351332877649
25,Industrial Production (% Relative to 2015),Use of Phosphate per area of cropland (kg/ha),0.7744314637509967
26,Emissions of CO2eq from Forests (gigagrams),Population (1000 persons),-0.5013219155518109
27,"Built-up Land (Eco. Footprint, gha)","Grazing Land (Eco. Footprint, gha)",0.883937115516063
28,"Built-up Land (Eco. Footprint, gha)",Major livestock density in agricultural areas (LSU/ha),0.9883116883116884
29,"Cropland (Biocapacity, gha)",Emissions of CO2eq from Agriculture (gigagrams),0.5910991819090585
30,Total Emissions of CO2eq (gigagrams),Use of Phosphate per area of cropland (kg/ha),0.3313897833588664
31,Emissions of CO2eq from Land Use Sources (gigagrams),"Forest Products (Biocapacity, gha)",-0.13042073983071262
32,"Cropland (Eco. Footprint, gha)","Grazing Land (Biocapacity, gha)",0.734107997265892
33,Emissions of CO2eq from Forests (gigagrams),Emissions of CO2eq from Transportation (gigagrams),-0.89376130198915
34,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",0.9999999999999999
35,Emissions of CO2eq from Land Use Sources (gigagrams),Emissions of CO2eq from Land Use Sources (gigagrams),1.0
36,Average Annual Precipitation (mm/year),Emissions of CO2eq from Forests (gigagrams),-0.7553984837012856
37,"Birth Rate, Crude (annually per 1000 people)","Carbon (Eco. Footprint, gha)",-0.9884483937115517
38,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)",Emissions of CO2eq from Waste (gigagrams),0.7823831683565312
39,"Grazing Land (Biocapacity, gha)",Total Renewable Water Resources Per Capita (m^3/capita/year),0.9146439056417304
40,Average Annual Precipitation (mm/year),Total Renewable Water Resources Per Capita (m^3/capita/year),1.0
41,Emissions of CO2eq from Transportation (gigagrams),"Grazing Land (Eco. Footprint, gha)",0.8172718573116868
42,Emissions of CO2eq from Land Use Sources (gigagrams),"Grazing Land (Eco. Footprint, gha)",0.7232494312492803
43,Average Annual Precipitation (mm/year),Average Annual Precipitation (mm/year),1.0
44,Emissions of CO2eq from Other Sources (gigagrams),Total Renewable Water Resources Per Capita (m^3/capita/year),0.7557982077375335
45,"Built-up Land (Biocapacity, gha)",Emissions of CO2eq from Forests (gigagrams),-0.5011646874145829
46,"Built-up Land (Biocapacity, gha)","Built-up Land (Biocapacity, gha)",1.0
47,"Total (Eco. Footprint, gha)",Use of Potash per area of cropland (kg/ha),0.7722447292015658
48,Emissions of CO2eq from Transportation (gigagrams),Use of Nitrogen per area of cropland (kg/ha),0.3306838404241396
49,"Cropland (Biocapacity, gha)","Grazing Land (Eco. Footprint, gha)",0.8788790157211211
50,Average Annual Precipitation (mm/year),"Death Rate, Crude (annually per 1000 people)",-0.8474627425302259
51,Total Renewable Water Resources Per Capita (m^3/capita/year),Use of Pesticides per area of cropland (kg/ha),0.7839796231541019
52,Emissions of CO2eq from Waste (gigagrams),Use of Potash per area of cropland (kg/ha),0.3509544875498645
53,Emissions of CO2eq from Waste (gigagrams),Total Emissions of CO2eq (gigagrams),0.9983725135623869
54,Emissions of CO2eq from Waste (gigagrams),Food supply (kcal/capita/day),0.726443650075795
55,Emissions of CO2eq from Other Sources (gigagrams),Major livestock density in agricultural areas (LSU/ha),0.551006006915892
56,"Total (Eco. Footprint, gha)",Use of Nitrogen per area of cropland (kg/ha),0.7784703878564212
57,"Area with Permanent Snow/Glaciers (CCI-LC, 1000 ha)","Fishing Grounds (Biocapacity, gha)",-0.4577630695339202
58,"Forest Products (Biocapacity, gha)",Use of Phosphate per area of cropland (kg/ha),-0.7671589798778813
59,Industrial Production (% Relative to 2015),Use of Potash per area of cropland (kg/ha),0.7774362189452835
60,Emissions of CO2eq from Energy Production (gigagrams),"Total (Eco. Footprint, gha)",0.5918853225951991
