,0
0,1961.0
1,3090305.2789999996
2,27.686278609783272
3,66890564.35710351
4,13057283.430636823
5,1720897.1033413494
6,-16.0
7,-10276.919117887772
8,107384552.24331081
9,107384552.24331081
10,87873491.98243672
11,807892557.1088867
12,286281335.1311493
13,-8.578924391877253e+16
14,-6.778156907692597e+16
15,-1.5549165846161523e+19
16,1962.0
17,3149244.245
18,28.72550288080106
19,68588794.43192804
20,13364794.601748887
21,1720898.1426404386
22,-16.0
23,-10259.91110489652
24,109631056.46482098
25,109631056.46482098
26,90810795.57649866
27,830510794.6796875
28,301452367.0267029
29,-8.909315670159995e+16
30,-7.039252054303492e+16
31,-1.6147994853715687e+19
32,1963.0
33,3210271.352
34,29.801545694046176
35,70347190.88033083
36,13683200.546351835
37,1720899.2187607205
38,-16.0
39,-10242.632707343051
40,112031428.66686836
41,112031428.66686836
42,93915732.47000572
43,842427459.9018555
44,316967404.4685669
45,-9.257990370539589e+16
46,-7.314796939470397e+16
47,-1.6779962276924623e+19
48,1964.0
49,3273670.772
50,30.919417630117294
51,72173941.65452038
52,14013983.917950608
53,1720900.3367131369
54,-16.0
55,-10225.027085009557
56,114605144.07069358
57,114605144.07069358
58,97209862.32312296
59,847513323.3876953
60,332491661.63694763
61,-9.627306964196891e+16
62,-7.606655494569389e+16
63,-1.7449342807795517e+19
64,1965.0
65,3339592.688
66,32.08176674732432
67,74073374.03243577
68,14357928.288998974
69,1720901.4991459365
70,-16.0
71,-10207.078931846441
72,117367752.12759605
73,117367752.12759605
74,100709078.27783102
75,849043461.4399414
76,347664540.61634827
77,-1.0018977445961824e+17
78,-7.916180783391478e+16
79,-1.815923941009364e+19
80,1966.0
81,3408121.405
82,33.290079529196134
83,76047917.12500611
84,14715473.516709229
85,1720902.7075457098
86,-16.0
87,-10188.792783231233
88,120333081.78017396
89,120333081.78017396
90,104426666.87012836
91,849718189.8417969
92,362129980.35832214
93,-1.0434414527452962e+17
94,-8.244489369484e+16
95,-1.891221260145988e+19
96,1967.0
97,3479053.8210000005
98,34.54077483846115
99,78091718.87970883
100,15085559.926334536
101,1720903.9583310618
102,-16.0
103,-10170.248486783797
104,123502784.9539654
105,123502784.9539654
106,108360545.26246327
107,851602234.9912109
108,375516604.9244232
109,-1.0873311570867918e+17
110,-8.591339064945782e+16
111,-1.970770660568883e+19
112,1968.0
113,3551880.7
114,35.82487371863618
115,80190106.49264058
116,15465530.603962751
117,1720905.2425223894
118,-16.0
119,-10151.598197919659
120,126863363.02648614
121,126863363.02648614
122,112490394.02053243
123,856028787.4599609
124,387485614.6855774
125,-1.133333748745512e+17
126,-8.954887788096198e+16
127,-2.0541496360996405e+19
128,1969.0
129,3625905.514
130,37.13009484121875
131,82323010.64671227
132,15851751.448836284
133,1720906.5478374804
134,-16.0
135,-10133.028981041436
136,130389507.61307386
137,130389507.61307386
138,116782562.2177632
139,863541912.0263672
140,397799724.1062927
141,-1.1810697628064352e+17
142,-9.3321367958801e+16
143,-2.140670412534154e+19
144,1970.0
145,3700577.65
146,38.44672968174072
147,84474566.32732236
148,16241349.66457015
149,1720907.8645671108
150,-16.0
151,-10114.677570869855
152,134059137.61705855
153,134059137.61705855
154,121208672.9854817
155,874005143.0541992
156,406384452.4110565
157,-1.2302208557602018e+17
158,-9.720570329760814e+16
159,-2.229755997256996e+19
160,1971.0
161,3775790.9
162,39.77290555836075
163,86641713.32435817
164,16633771.116121309
165,1720909.1908384643
166,-16.0
167,-10096.563765792398
168,137869733.37496266
169,137869733.37496266
170,125764741.46206708
171,886870239.3164062
172,413323658.0281372
173,-1.2807410279759304e+17
174,-1.0119824894967782e+17
175,-2.3213230166589956e+19
176,1972.0
177,3851545.1810000003
178,41.10862100760532
179,88824449.24631017
180,17029015.370441318
181,1720910.5266500772
182,-16.0
183,-10078.680782808424
184,141823767.95140633
185,141823767.95140633
186,130452882.72730923
187,901362973.0673828
188,418774037.1878967
189,-1.3326521626451566e+17
190,-1.0530073461502581e+17
191,-2.4154111336814244e+19
192,1973.0
193,3927538.695
194,42.44855466352878
195,91014078.27655812
196,17425507.811232705
197,1720911.8666802007
198,-16.0
199,-10061.091291742938
200,145907285.4983409
201,145907285.4983409
202,135255957.28607935
203,916558030.6220703
204,422922726.3982544
205,-1.3857633620154968e+17
206,-1.0949807404546147e+17
207,-2.5116743491435647e+19
208,1974.0
209,4003448.151
210,43.78700619107944
211,93201285.31277876
212,17821561.683522217
213,1720913.205228089
214,-16.0
215,-10043.857799349904
216,150103272.3543443
217,150103272.3543443
218,140153838.66977507
219,931555600.6943359
220,426003826.64756775
221,-1.4398518549280637e+17
222,-1.13772661840001e+17
223,-2.609708893815554e+19
224,1975.0
225,4079087.1980000003
226,45.120689810148264
227,95380700.9551649
228,18216204.71008583
229,1720914.5390077254
230,-16.0
231,-10027.007698695508
232,154400609.44801855
233,154400609.44801855
234,145133802.69627386
235,945617472.2905273
236,428281427.4837799
237,-1.4947776120184656e+17
238,-1.1811343145169176e+17
239,-2.7092609666717127e+19
240,1976.0
241,4154287.5939999996
242,46.44663904233104
243,97547477.58517757
244,18608559.096520957
245,1720915.865052418
246,-16.0
247,-10010.562250868423
248,158788107.14722842
249,158788107.14722842
250,150183376.5596463
251,958199239.5063477
252,430021644.5935669
253,-1.550404017483463e+17
254,-1.2250958598380365e+17
255,-2.8100829537123836e+19
256,1977.0
257,4229201.257
258,47.76753253782343
259,99705992.47194822
260,18999417.467558965
261,1720917.18604101
262,-16.0
263,-9994.472875399846
264,163272967.5679031
265,163272967.5679031
266,155311339.41939056
267,969007827.2685547
268,431483147.33354187
269,-1.6068287329098656e+17
270,-1.2696884344899085e+17
271,-2.9123518650312008e+19
272,1978.0
273,4304377.112
274,49.09304905792173
275,101872061.99311432
276,19391643.812527426
277,1720918.5116529597
278,-16.0
279,-9978.611172356214
280,167887997.14077765
281,167887997.14077765
282,160555218.0848016
283,977961031.027832
284,432908431.8381653
285,-1.6644647099727107e+17
286,-1.3152383950141976e+17
287,-3.016816169059315e+19
288,1979.0
289,4380585.755
290,50.43677591371572
291,104067889.6142532
292,19789258.678349655
293,1720919.8554765559
294,-16.0
295,-9962.811837842451
296,172683475.73620832
297,172683475.73620832
298,165971309.83745885
299,985100106.6054688
300,434526287.5597992
301,-1.7239290812620176e+17
302,-1.3622334670937051e+17
303,-3.12459440893236e+19
304,1980.0
305,4458411.534
306,51.80901645230382
307,106310312.36891174
308,20195310.87212242
309,1720921.227815888
310,-16.0
311,-9946.958413512526
312,177702336.09165627
313,177702336.09165627
314,171606417.666565
315,990524152.7241211
316,436555779.3422394
317,-1.7857323776281037e+17
318,-1.4110771329180614e+17
319,-3.2366119138055012e+19
320,1981.0
321,4537845.777
322,53.20961776715423
323,108599080.38756883
324,20609755.148110062
325,1720922.6285180377
326,-16.0
327,-9931.060191250432
328,182951659.28278244
329,182951659.28278244
330,177466452.43171483
331,994393229.6816406
332,439194922.3527374
333,-1.849935375840525e+17
334,-1.46181743267815e+17
335,-3.3529788406198645e+19
336,1982.0
337,4618776.1680000005
338,54.636599478882246
339,110930957.46806443
340,21032005.50307841
341,1720924.055602484
342,-16.0
343,-9915.146202408923
344,188431525.49754816
345,188431525.49754816
346,183549549.1321661
347,996987091.1098633
348,442617865.3717804
349,-1.9165137386724755e+17
350,-1.5144351399328362e+17
351,-3.4736510785337418e+19
352,1983.0
353,4701530.843
354,56.09574735060072
355,113315398.31348623
356,21463773.970551148
357,1720925.5148554055
358,-16.0
359,-9899.159270793556
360,194172343.15375564
361,194172343.15375564
362,189887381.20539087
363,998691377.2460938
364,446992018.38201904
365,-1.9858099430246054e+17
366,-1.569200926500259e+17
367,-3.599249361555552e+19
368,1984.0
369,4786483.862
370,57.59365688706991
371,115763180.85200137
372,21907012.19027484
373,1720927.0128727828
374,-16.0
375,-9883.03773324588
376,200210208.64872098
377,200210208.64872098
378,196517280.6254139
379,999943618.1953125
380,452467246.94685364
381,-2.0582270805228538e+17
382,-1.626433371309271e+17
383,-3.7305042869321515e+19
384,1985.0
385,4873781.796
386,59.13291245905447
387,118278528.28766637
388,22362484.88926999
389,1720928.5522391722
390,-16.0
